행정구역_x,행정구역분류,2023년_계_총세대수,2023년_계_총인구수,2023년_세대수(전체세대),지역별 1인세대 / 지역별 전체세대,지역별 1인가구 / 전체인구비,지역별 1인가구수 / 전국 1인가구수비,montly-avg_단독다가구,dep-avg_단독다가구_월세,montly-avg_아파트,dep-avg_아파트_월세,montly-avg_연립다세대,dep-avg_연립다세대_월세,montly-avg_오피스텔,dep-avg_오피스텔_월세,dep-avg_단독다가구_전세,dep-avg_아파트_전세,dep-avg_연립다세대_전세,dep-avg_오피스텔_전세,montly-avg_mean,dep-avg_rent_mean,dep-avg_deposit_mean,count_도시철도,count_bus,count_transport,sum_과학·기술,sum_교육,sum_보건의료,sum_부동산,sum_소매,sum_수리·개인,sum_숙박,sum_시설관리·임대,sum_예술·스포츠,sum_음식,sum_all_shop
서울특별시 종로구 사직동,11010530,"2,299",8998,4536,50.68342152,25.55012225,0.0002,71.43939393939394,3687.121212121212,,,97.56666666666666,11621,84.73076923,4436.538462,22330.571428571428,,31033.105263157893,28166.82692307692,84.57894327868688,6581.5532247070705,27176.834538268744,2,15,17,410,111,29,47,280,84,35,246,39,901,3240
서울특별시 종로구 삼청동,11010540,555,2248,1120,49.55357143,24.6886121,0.0001,93.75,7071.428571428572,,,80.75,12000,,,20750,,,,87.25,9535.714285714286,20750,,,,118,27,2,9,206,8,24,38,6,220,1756
서울특별시 종로구 부암동,11010550,"1,674",9085,4133,40.50326639,18.42597688,0.0002,64.60493827160494,9437.037037037036,20,17500,71.62337662337663,9537.337662337664,50.55555556,1444.444444,30263.88888888889,28375,30749.02298850575,19000,51.695967613745395,9479.704785843676,27096.97796934866,,,,87,32,2,11,94,33,10,30,7,115,1539
서울특별시 종로구 평창동,11010560,"2,260",17387,7135,31.67484233,12.99821706,0.0002,96.64705882,12403.921568627453,85.14285714285714,3964.285714285714,104.83333333333331,14716.666666666666,65,1000,41102.63157894737,27250,41103.02532,,87.90581232404762,8021.218487394958,36485.21896513435,,,,127,42,5,32,141,47,5,31,20,131,1719
서울특별시 종로구 무악동,11010570,707,7961,3008,23.50398936,8.88079387,0.0001,104.375,2062.5,115.17857142857144,19460.714285714286,57.22222222222222,4833.333333333333,,,5000,50990.19230769231,14000,,92.25859788359789,8785.515873015873,23330.064102564105,,,,7,6,2,8,28,16,0,6,7,40,1175
서울특별시 종로구 교남동,11010580,"1,621",9715,4344,37.31583794,16.68553783,0.0002,46.97916666666666,3064.583333333333,96.91826923076924,17063.44230769231,46.46153846153846,5858.769230769231,87.32,3914,14032,62534.28,17802.440476190477,27746.666666666668,69.41974358974359,7475.198717948718,30528.846785714286,,,,29,19,7,10,41,18,1,9,7,91,1399
서울특별시 종로구 가회동,11010600,921,3860,1910,48.21989529,23.86010363,0.0001,66.51063829787235,10287.234042553191,,,71.39682539682539,5579.365079,,,23481.48148148148,,22447.321428571428,,68.95373184734888,7933.299560959136,22964.401455026455,1,,1,112,37,2,15,140,15,45,24,12,215,1813
서울특별시 종로구 종로1.2.3.4가동,11010610,"3,921",6683,4903,79.97144605,58.67125542,0.0004,66.14634146341463,1124.3902439024391,88.41666666666667,1722.2222222222222,71.83333333333333,883.3333333333334,78.475,2702.5,11583.333333333334,28376.92307692308,17500,21236.90909090909,76.21783536585366,1608.1114498644988,19674.291375291374,4,22,26,1066,300,62,170,2302,405,181,624,133,2202,8660
서울특별시 종로구 종로5.6가동,11010630,"2,570",5384,3581,71.76766266,47.73402675,0.0003,50.59615384615385,3747.1153846153848,72.36956522,5869.565217391304,29.285714285714285,10308.57142857143,70.0862069,3364.137931,11880.8,24250,23961.11111111111,20095.483333333334,55.58441006231486,5822.34749,20046.848611111112,2,8,10,171,32,25,67,580,69,34,51,34,541,2847
서울특별시 종로구 이화동,11010640,"2,731",6899,4211,64.85395393,39.58544717,0.0003,56.906666666666666,3406.6666666666665,81.41666666666667,1250,52.72435897435897,4510.25641,65.25,2250,16317.741935483871,30000,17086.824324324323,17000,64.07442307692307,2854.230769230769,20101.14156495205,1,5,6,137,44,21,11,142,24,10,34,28,306,2010
서울특별시 종로구 창신1동,11010670,"1,547",4521,2626,58.91089109,34.21809334,0.0002,53.70588235294117,1541.1764705882354,77.54285714285714,7771.428571428572,37.5,9607.666666666666,85,1029.411765,15625,29960.9375,21938.88888888889,20057.14285714286,63.437184873949576,4987.420868420869,21895.492311507936,2,2,4,92,6,19,35,323,57,30,30,21,211,2087
서울특별시 종로구 창신2동,11010680,"2,031",7510,3983,50.99171479,27.04394141,0.0002,,,38,11000,36.05714285714286,6085.714285714285,,,,23232.941176470587,14918.485714285714,,37.028571428571425,8542.857142857143,19075.71344537815,,,,28,4,2,15,88,37,14,9,15,125,1610
서울특별시 종로구 창신3동,11010690,946,6345,2769,34.16395811,14.90937746,0.0001,44.244239631336406,2074.6543778801843,96.63157894736842,7894.736842105263,41.888888888888886,5614.777777777777,,,12961.39705882353,30855.042857142857,16800,,60.921569155864574,5194.722999254408,20205.479971988796,1,,1,7,5,0,13,25,13,4,2,5,32,1264
