행정구역_x,행정구역분류,2023년_계_총세대수,2023년_계_총인구수,2023년_세대수(전체세대),지역별 1인세대 / 지역별 전체세대,지역별 1인가구 / 전체인구비,지역별 1인가구수 / 전국 1인가구수비,sum_과학·기술,sum_교육,sum_보건의료,sum_부동산,sum_소매,sum_수리·개인,sum_숙박,sum_시설관리·임대,sum_예술·스포츠,sum_음식,sum_all_shop,count_bus,count_도시철도,count_transport,단독다가구 월세 단위면적당 보증금,단독다가구 단위면적당 월세금,단독다가구 전세 단위면적당 보증금,아파트 월세 단위면적당 보증금,아파트 단위면적당 월세금,아파트 전세 단위면적당 보증금,연립다세대 월세 단위면적당 보증금,연립다세대 단위면적당 월세금,연립다세대 전세 단위면적당 보증금,오피스텔 월세 단위면적당 보증금,오피스텔 단위면적당 월세금,오피스텔 전세 단위면적당 보증금,평균 월세 단위면적당 보증금,평균 단위면적당 월세금,평균 전세 단위면적당 보증금
서울특별시 종로구 사직동,11010530,2299,8998,4536,50.68342152,25.55012225,0.0002,410,111,29,47,280,84,35,246,39,901,3240,15,2,17,92.16994646,2.117573429,423.428094,90.22630850357524,1.0725660560643984,345.9686892762819,207.0583459883611,1.925648687793461,493.21751305282976,124.55523324954105,2.395313671883845,719.8639891868078,128.50245855036934,1.877775461185426,495.6195713789799
서울특별시 종로구 삼청동,11010540,555,2248,1120,49.55357143,24.6886121,0.0001,118,27,2,9,206,8,24,38,6,220,1756,1,0,1,113.27254037351712,1.670422193406996,409.8217198435206,90.22630850357524,1.0725660560643984,345.9686892762819,156.7330069922884,1.033852410936886,268.5026140682301,70.66311338418919,1.7685549717663267,438.8235336550541,107.72374231339248,1.3863489080436515,365.7791392107716
서울특별시 종로구 부암동,11010550,1674,9085,4133,40.50326639,18.42597688,0.0002,87,32,2,11,94,33,10,30,7,115,1539,2,0,2,136.67447579962223,1.4103742747416066,391.0592249505746,295.5082742316785,0.3377237419790611,479.3731038046417,190.80682621560533,1.3786982650781776,432.7924208342853,46.86820647351523,1.7126871336014766,387.35983690112135,167.46444568010534,1.2098708538500804,422.64614662265575
서울특별시 종로구 평창동,11010560,2260,17387,7135,31.67484233,12.99821706,0.0002,127,42,5,32,141,47,5,31,20,131,1719,15,0,15,153.2903657713515,1.3278663742887091,392.6229102153931,76.07097202999289,1.974084684486017,541.6029651,144.1028177,1.2975156786973012,438.0205100886624,32.17503217503218,2.091377091377092,438.8235336550541,101.40979691909416,1.672710957,452.76747976477736
서울특별시 종로구 무악동,11010570,707,7961,3008,23.50398936,8.88079387,0.0001,7,6,2,8,28,16,0,6,7,40,1175,0,0,0,33.76512508025799,1.7142507995061436,87.41258741258741,324.8818258162965,1.9238484583516853,851.6952937,79.60612779304003,1.0842337167185034,261.15956307895453,70.66311338418919,1.7685549717663267,438.8235336550541,127.22904801844592,1.6227219865856648,409.772744461649
서울특별시 종로구 교남동,11010580,1621,9715,4344,37.31583794,16.68553783,0.0002,29,19,7,10,41,18,1,9,7,91,1399,6,0,6,84.73079894502398,1.405559232860005,376.3707626232576,374.7046157978799,1.997739519366089,1224.8003684976054,135.32166954141138,1.1867292624918482,371.31820862405976,150.89495538097287,3.3508672255771885,996.4646940998088,186.41300991632204,1.985223810073783,742.2385084611828
서울특별시 종로구 가회동,11010600,921,3860,1910,48.21989529,23.86010363,0.0001,112,37,2,15,140,15,45,24,12,215,1813,0,1,1,175.62320864741417,1.3755155260829346,465.6112162856132,90.22630850357524,1.0725660560643984,345.9686892762819,144.2022267,1.4131608185030633,497.0893368717431,70.66311338418919,1.7685549717663267,438.8235336550541,120.17871430879464,1.4074493431041808,436.873194022173
서울특별시 종로구 종로1.2.3.4가동,11010610,3921,6683,4903,79.97144605,58.67125542,0.0004,1066,300,62,170,2302,405,181,624,133,2202,8660,22,4,26,41.088068599617294,3.2409800991564364,353.5993347374422,49.18896569943485,2.595974303713073,648.3308503392959,55.65301627,4.579910649397324,1035.5544838303458,114.09782770982238,3.341276856675868,936.8805621403476,65.00696956971863,3.439535477235675,743.5913077618579
서울특별시 종로구 종로5.6가동,11010630,2570,5384,3581,71.76766266,47.73402675,0.0003,171,32,25,67,580,69,34,51,34,541,2847,8,2,10,99.25894381,1.4025083780730865,286.4307180837576,282.7089229994186,3.8246454329120287,1021.2716694172508,440.2423689308744,1.0741329800539758,850.7252807337992,166.9942859,3.527701856302183,1006.582079132656,247.30113041007328,2.4572471618353187,791.2524368418659
서울특별시 종로구 이화동,11010640,2731,6899,4211,64.85395393,39.58544717,0.0003,137,44,21,11,142,24,10,34,28,306,2010,5,1,6,108.4260022094726,2.0907980415346232,484.7108630215731,71.48093189428472,4.596293607668284,505.5611729019211,137.0656749993318,1.723343580215806,387.7524728980969,76.65280578147336,2.3999688457237416,641.025641,98.40635372114062,2.702601018785613,504.76253745539776
